Vardas         Pavarde        ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	ND10	ND11	ND12	ND13	ND14	ND15	Egz.
Vardas24       Pavarde24      8     	1     	5     	7     	6     	9     	7     	10    	8     	2     	2     	4     	3     	1     	10    	8     	
Vardas25       Pavarde25      10    	4     	3     	1     	5     	9     	8     	5     	10    	3     	1     	5     	7     	7     	5     	1     	
Vardas26       Pavarde26      7     	10    	10    	10    	3     	4     	8     	3     	6     	4     	7     	2     	8     	10    	1     	6     	
Vardas27       Pavarde27      4     	8     	1     	3     	2     	7     	5     	7     	1     	6     	2     	2     	5     	1     	8     	7     	
Vardas28       Pavarde28      10    	5     	2     	3     	1     	4     	4     	10    	2     	4     	4     	2     	8     	6     	6     	8     	
Vardas29       Pavarde29      6     	2     	1     	9     	9     	1     	7     	8     	2     	8     	3     	6     	6     	4     	8     	7     	
Vardas30       Pavarde30      9     	9     	8     	4     	1     	8     	4     	8     	7     	9     	4     	2     	9     	9     	7     	2     	
Vardas31       Pavarde31      8     	3     	7     	10    	7     	9     	4     	8     	8     	7     	1     	10    	2     	5     	2     	4     	
Vardas32       Pavarde32      4     	1     	9     	3     	7     	1     	1     	8     	9     	2     	2     	5     	4     	8     	2     	7     	
Vardas33       Pavarde33      6     	9     	9     	5     	10    	10    	10    	8     	7     	9     	7     	8     	3     	8     	8     	9     	
Vardas34       Pavarde34      6     	7     	8     	1     	1     	9     	2     	3     	5     	5     	1     	3     	8     	10    	7     	1     	
Vardas35       Pavarde35      4     	6     	8     	4     	3     	6     	1     	7     	6     	3     	1     	7     	7     	10    	3     	5     	
Vardas36       Pavarde36      8     	7     	5     	9     	9     	9     	8     	1     	6     	9     	7     	4     	4     	3     	2     	2     	
Vardas37       Pavarde37      7     	10    	5     	10    	7     	4     	9     	2     	9     	7     	4     	10    	8     	10    	5     	4     	
Vardas38       Pavarde38      10    	6     	7     	7     	10    	9     	6     	8     	1     	2     	4     	2     	8     	8     	9     	3     	
Vardas39       Pavarde39      10    	1     	9     	3     	3     	8     	2     	10    	1     	1     	4     	8     	5     	5     	9     	5     	
Vardas40       Pavarde40      8     	9     	7     	4     	5     	8     	3     	10    	10    	3     	1     	5     	2     	2     	7     	5     	
Vardas41       Pavarde41      9     	2     	6     	3     	2     	2     	9     	7     	6     	10    	3     	8     	1     	8     	8     	7     	
Vardas42       Pavarde42      10    	8     	1     	6     	1     	10    	9     	6     	1     	6     	7     	8     	4     	9     	4     	9     	
Vardas43       Pavarde43      1     	9     	6     	2     	3     	2     	9     	1     	9     	10    	5     	8     	4     	6     	9     	3     	
Vardas44       Pavarde44      9     	5     	6     	2     	2     	5     	9     	8     	4     	5     	8     	2     	1     	2     	1     	10    	
Vardas45       Pavarde45      8     	7     	6     	1     	7     	6     	6     	1     	1     	3     	1     	2     	4     	5     	6     	2     	
Vardas46       Pavarde46      1     	4     	8     	8     	6     	2     	1     	4     	7     	1     	6     	10    	5     	6     	4     	10    	
Vardas47       Pavarde47      10    	9     	8     	2     	4     	1     	8     	4     	5     	1     	7     	5     	2     	4     	8     	10    	
Vardas48       Pavarde48      5     	8     	1     	1     	9     	10    	3     	10    	10    	3     	8     	6     	1     	5     	1     	5     	
Vardas49       Pavarde49      2     	5     	5     	2     	4     	1     	7     	3     	9     	1     	5     	9     	3     	7     	3     	1     	
Vardas50       Pavarde50      1     	3     	8     	10    	10    	8     	2     	10    	4     	7     	7     	8     	4     	1     	2     	2     	
Vardas51       Pavarde51      7     	3     	7     	8     	2     	6     	9     	9     	4     	7     	1     	4     	3     	8     	1     	2     	
Vardas52       Pavarde52      3     	3     	9     	10    	7     	10    	7     	3     	5     	3     	4     	6     	2     	3     	1     	10    	
Vardas53       Pavarde53      6     	8     	4     	2     	6     	4     	7     	9     	1     	2     	3     	4     	3     	3     	4     	4     	
Vardas54       Pavarde54      2     	9     	1     	3     	2     	5     	1     	7     	1     	7     	5     	9     	7     	4     	3     	6     	
Vardas55       Pavarde55      1     	2     	2     	7     	9     	2     	7     	7     	1     	10    	4     	2     	4     	7     	2     	9     	
Vardas56       Pavarde56      5     	10    	1     	1     	3     	2     	4     	10    	9     	2     	3     	9     	7     	1     	8     	5     	
Vardas57       Pavarde57      6     	9     	2     	2     	3     	6     	6     	1     	5     	7     	3     	2     	9     	1     	5     	2     	
Vardas58       Pavarde58      3     	5     	6     	2     	3     	4     	1     	2     	8     	2     	6     	7     	7     	7     	5     	5     	
Vardas59       Pavarde59      10    	7     	8     	10    	5     	8     	7     	3     	3     	9     	7     	3     	3     	3     	3     	6     	
Vardas60       Pavarde60      4     	3     	4     	8     	10    	2     	1     	2     	2     	2     	1     	2     	10    	10    	3     	1     	
Vardas61       Pavarde61      1     	9     	4     	5     	2     	10    	4     	6     	10    	7     	3     	8     	9     	7     	8     	3     	
Vardas62       Pavarde62      6     	4     	6     	10    	7     	3     	9     	8     	8     	1     	3     	9     	1     	10    	3     	2     	
Vardas63       Pavarde63      4     	9     	2     	7     	6     	9     	8     	7     	7     	2     	4     	6     	1     	4     	8     	7     	
Vardas64       Pavarde64      6     	6     	3     	7     	9     	10    	9     	3     	1     	2     	10    	6     	2     	2     	1     	10    	
Vardas65       Pavarde65      1     	8     	1     	4     	9     	10    	4     	6     	2     	1     	4     	5     	5     	7     	10    	4     	
Vardas66       Pavarde66      9     	5     	7     	3     	5     	8     	10    	6     	10    	4     	8     	10    	10    	6     	9     	3     	
Vardas67       Pavarde67      9     	5     	1     	2     	5     	2     	10    	4     	6     	8     	7     	6     	6     	6     	6     	8     	
Vardas68       Pavarde68      1     	9     	3     	5     	4     	4     	3     	10    	3     	5     	6     	7     	9     	10    	6     	9     	
Vardas69       Pavarde69      6     	4     	1     	9     	8     	7     	9     	8     	1     	6     	9     	2     	10    	8     	9     	3     	
Vardas70       Pavarde70      5     	4     	4     	3     	5     	10    	6     	3     	10    	3     	3     	4     	3     	1     	10    	10    	
Vardas71       Pavarde71      5     	6     	9     	4     	1     	1     	6     	3     	2     	1     	5     	7     	3     	1     	4     	6     	
Vardas72       Pavarde72      10    	8     	9     	4     	5     	4     	4     	6     	2     	2     	6     	6     	5     	7     	3     	10    	
Vardas73       Pavarde73      1     	5     	2     	7     	9     	7     	8     	8     	4     	8     	5     	3     	1     	10    	3     	1     	
Vardas74       Pavarde74      4     	10    	5     	3     	1     	9     	9     	1     	5     	8     	2     	7     	6     	1     	9     	5     	
Vardas75       Pavarde75      4     	2     	10    	6     	8     	6     	2     	9     	9     	5     	4     	3     	1     	4     	7     	2     	
Vardas76       Pavarde76      7     	3     	6     	7     	7     	6     	2     	5     	1     	10    	7     	7     	4     	3     	5     	5     	
Vardas77       Pavarde77      5     	8     	6     	10    	7     	5     	4     	6     	3     	8     	7     	3     	8     	7     	4     	3     	
Vardas78       Pavarde78      6     	7     	2     	9     	4     	2     	7     	7     	6     	1     	7     	10    	1     	10    	8     	2     	
Vardas79       Pavarde79      7     	9     	10    	9     	4     	4     	8     	2     	3     	6     	1     	5     	10    	8     	6     	4     	
Vardas80       Pavarde80      1     	1     	8     	1     	5     	4     	8     	9     	10    	3     	6     	7     	6     	8     	7     	5     	
Vardas81       Pavarde81      4     	3     	8     	5     	7     	2     	2     	2     	5     	4     	8     	8     	10    	1     	8     	8     	
Vardas82       Pavarde82      8     	6     	7     	5     	10    	5     	2     	9     	10    	1     	1     	2     	2     	7     	7     	1     	
Vardas83       Pavarde83      3     	7     	1     	4     	10    	6     	4     	6     	3     	4     	8     	5     	2     	7     	10    	2     	
Vardas84       Pavarde84      4     	1     	3     	10    	5     	3     	9     	6     	8     	9     	9     	5     	9     	4     	1     	3     	
Vardas85       Pavarde85      9     	7     	5     	2     	5     	6     	6     	1     	10    	10    	1     	10    	3     	2     	8     	6     	
Vardas86       Pavarde86      3     	6     	2     	7     	6     	6     	3     	9     	5     	4     	10    	6     	4     	10    	1     	9     	
Vardas87       Pavarde87      8     	8     	1     	1     	5     	3     	9     	9     	4     	7     	6     	9     	8     	8     	3     	5     	
Vardas88       Pavarde88      2     	1     	5     	4     	1     	6     	10    	1     	3     	8     	4     	9     	1     	5     	6     	4     	
Vardas89       Pavarde89      10    	9     	6     	8     	4     	7     	5     	6     	5     	1     	5     	9     	4     	7     	9     	5     	
Vardas90       Pavarde90      1     	8     	10    	10    	5     	8     	7     	2     	6     	7     	5     	7     	4     	10    	2     	1     	
Vardas91       Pavarde91      2     	1     	10    	5     	3     	4     	1     	1     	4     	10    	4     	10    	2     	7     	1     	6     	
Vardas92       Pavarde92      8     	6     	4     	10    	10    	8     	5     	10    	5     	2     	6     	7     	3     	1     	7     	1     	
Vardas93       Pavarde93      2     	3     	5     	10    	3     	3     	1     	4     	3     	6     	1     	7     	3     	10    	10    	5     	
Vardas94       Pavarde94      4     	7     	4     	9     	7     	5     	5     	2     	10    	2     	9     	9     	1     	6     	8     	7     	
Vardas95       Pavarde95      10    	6     	7     	3     	7     	1     	10    	2     	8     	2     	7     	5     	2     	2     	1     	10    	
Vardas96       Pavarde96      7     	6     	10    	6     	8     	4     	9     	10    	7     	1     	9     	4     	4     	10    	3     	7     	
Vardas97       Pavarde97      9     	7     	7     	3     	1     	3     	10    	9     	5     	2     	2     	5     	8     	10    	5     	10    	
Vardas98       Pavarde98      8     	6     	8     	2     	5     	9     	6     	8     	8     	7     	8     	3     	7     	10    	3     	1     	
Vardas99       Pavarde99      3     	10    	5     	3     	2     	4     	5     	4     	3     	4     	10    	5     	7     	3     	10    	9     	
Vardas100      Pavarde100     1     	7     	8     	5     	1     	10    	2     	8     	6     	9     	8     	2     	5     	10    	5     	5     	
Vardas101      Pavarde101     10    	4     	5     	4     	8     	10    	2     	2     	9     	2     	7     	5     	10    	2     	8     	2     	
Vardas102      Pavarde102     9     	8     	3     	7     	8     	2     	2     	4     	6     	3     	3     	6     	5     	1     	7     	5     	
Vardas103      Pavarde103     5     	5     	1     	10    	6     	6     	6     	3     	4     	9     	3     	9     	9     	10    	2     	5     	
Vardas104      Pavarde104     2     	9     	10    	10    	1     	10    	8     	5     	9     	2     	4     	2     	5     	9     	2     	3     	
Vardas105      Pavarde105     8     	5     	9     	7     	9     	9     	5     	8     	10    	1     	5     	1     	5     	6     	8     	8     	
Vardas106      Pavarde106     6     	1     	9     	8     	4     	8     	6     	2     	5     	1     	6     	1     	7     	3     	9     	2     	
Vardas107      Pavarde107     6     	4     	1     	3     	10    	3     	9     	4     	7     	4     	2     	2     	8     	5     	4     	8     	
Vardas108      Pavarde108     7     	1     	6     	7     	8     	4     	6     	8     	10    	3     	2     	7     	8     	4     	6     	4     	
Vardas109      Pavarde109     10    	1     	1     	3     	4     	8     	8     	7     	10    	5     	10    	3     	6     	4     	7     	9     	
Vardas110      Pavarde110     4     	5     	1     	4     	3     	4     	9     	1     	9     	10    	9     	9     	7     	4     	3     	7     	
Vardas111      Pavarde111     7     	10    	6     	8     	9     	1     	9     	5     	7     	9     	10    	3     	2     	6     	10    	9     	
Vardas112      Pavarde112     5     	10    	3     	2     	4     	8     	4     	10    	9     	6     	7     	4     	6     	4     	5     	7     	
Vardas113      Pavarde113     10    	6     	8     	8     	1     	4     	10    	3     	4     	2     	3     	4     	8     	6     	6     	7     	
Vardas114      Pavarde114     2     	8     	4     	10    	9     	6     	9     	2     	8     	6     	4     	1     	6     	3     	2     	3     	
Vardas115      Pavarde115     7     	10    	7     	3     	1     	3     	2     	3     	10    	3     	5     	2     	8     	4     	6     	9     	
Vardas116      Pavarde116     7     	8     	4     	1     	3     	6     	9     	8     	8     	7     	6     	7     	10    	5     	10    	10    	
Vardas117      Pavarde117     1     	10    	1     	7     	10    	4     	7     	10    	9     	4     	9     	1     	9     	8     	10    	6     	
Vardas118      Pavarde118     1     	1     	8     	8     	10    	3     	4     	6     	4     	4     	4     	4     	6     	4     	9     	6     	
Vardas119      Pavarde119     8     	7     	5     	9     	9     	3     	5     	8     	2     	2     	3     	2     	8     	1     	2     	1     	
Vardas120      Pavarde120     2     	3     	1     	10    	10    	8     	2     	6     	6     	2     	8     	3     	9     	3     	6     	6     	
Vardas121      Pavarde121     10    	3     	1     	5     	3     	9     	8     	9     	4     	8     	5     	9     	2     	4     	3     	4     	
Vardas122      Pavarde122     4     	4     	6     	4     	9     	4     	6     	9     	9     	1     	7     	7     	6     	7     	4     	10    	
Vardas123      Pavarde123     4     	7     	7     	8     	9     	6     	7     	6     	1     	10    	4     	8     	1     	2     	5     	9     	
Vardas124      Pavarde124     10    	2     	1     	10    	9     	5     	4     	9     	9     	8     	4     	2     	9     	9     	3     	2     	
Vardas125      Pavarde125     6     	9     	2     	5     	10    	4     	4     	1     	3     	10    	5     	6     	8     	8     	8     	7     	
Vardas126      Pavarde126     3     	4     	4     	6     	8     	9     	3     	5     	10    	7     	10    	5     	9     	1     	9     	5     	
Vardas127      Pavarde127     9     	7     	3     	1     	2     	5     	3     	8     	5     	1     	4     	8     	9     	4     	7     	10    	
Vardas128      Pavarde128     1     	5     	4     	5     	10    	10    	10    	10    	10    	7     	4     	9     	4     	7     	2     	5     	
Vardas129      Pavarde129     2     	6     	5     	3     	6     	2     	8     	9     	2     	7     	3     	3     	10    	9     	6     	2     	
Vardas130      Pavarde130     8     	10    	9     	3     	1     	8     	8     	2     	2     	1     	2     	6     	4     	7     	5     	1     	
Vardas131      Pavarde131     1     	6     	8     	8     	9     	7     	7     	3     	7     	6     	8     	3     	10    	5     	7     	10    	
Vardas132      Pavarde132     9     	4     	10    	4     	5     	3     	4     	10    	4     	9     	7     	5     	4     	7     	10    	3     	
Vardas133      Pavarde133     2     	7     	7     	3     	8     	8     	7     	7     	3     	1     	3     	10    	7     	3     	2     	7     	
Vardas134      Pavarde134     3     	8     	6     	5     	4     	7     	5     	2     	1     	5     	2     	4     	10    	5     	2     	6     	
Vardas135      Pavarde135     2     	7     	4     	9     	3     	9     	6     	5     	2     	2     	10    	3     	6     	10    	4     	8     	
Vardas136      Pavarde136     7     	9     	6     	10    	4     	5     	4     	6     	2     	6     	9     	6     	5     	8     	4     	10    	
Vardas137      Pavarde137     10    	7     	8     	7     	6     	10    	1     	5     	3     	8     	8     	7     	7     	4     	7     	8     	
Vardas138      Pavarde138     2     	4     	10    	5     	3     	7     	5     	10    	3     	4     	7     	3     	3     	9     	4     	6     	
Vardas139      Pavarde139     8     	3     	3     	6     	2     	1     	2     	8     	5     	10    	4     	7     	5     	6     	1     	2     	
Vardas140      Pavarde140     3     	7     	10    	10    	6     	2     	7     	3     	4     	1     	1     	9     	2     	3     	9     	4     	
Vardas141      Pavarde141     8     	5     	7     	2     	2     	3     	7     	4     	3     	8     	4     	6     	10    	3     	2     	5     	
Vardas142      Pavarde142     3     	7     	4     	7     	10    	9     	10    	4     	6     	1     	10    	5     	7     	9     	5     	6     	
Vardas143      Pavarde143     10    	6     	8     	5     	2     	10    	10    	2     	7     	5     	10    	2     	10    	2     	4     	5     	
Vardas144      Pavarde144     6     	9     	5     	6     	10    	5     	7     	1     	7     	5     	6     	1     	6     	10    	2     	2     	
Vardas145      Pavarde145     4     	9     	4     	6     	4     	10    	5     	6     	9     	2     	4     	8     	6     	6     	7     	5     	
Vardas146      Pavarde146     9     	7     	5     	3     	10    	5     	4     	4     	4     	4     	5     	1     	6     	4     	1     	4     	
Vardas147      Pavarde147     4     	10    	6     	9     	7     	3     	8     	4     	1     	6     	7     	10    	7     	8     	4     	4     	
Vardas148      Pavarde148     9     	6     	2     	7     	7     	10    	10    	8     	9     	6     	9     	5     	8     	4     	9     	8     	
Vardas149      Pavarde149     3     	2     	1     	4     	2     	7     	6     	10    	7     	4     	9     	6     	10    	3     	2     	4     	
Vardas150      Pavarde150     8     	8     	5     	1     	3     	6     	7     	7     	8     	8     	2     	10    	5     	10    	2     	4     	
Vardas151      Pavarde151     6     	9     	8     	3     	3     	8     	2     	8     	3     	9     	6     	9     	8     	3     	9     	4     	
Vardas152      Pavarde152     3     	9     	5     	10    	6     	8     	1     	9     	9     	2     	2     	6     	5     	1     	10    	5     	
Vardas153      Pavarde153     7     	3     	5     	6     	2     	9     	2     	9     	7     	6     	9     	4     	9     	7     	5     	6     	
Vardas154      Pavarde154     1     	2     	3     	7     	3     	8     	10    	3     	3     	3     	10    	2     	2     	9     	10    	4     	
Vardas155      Pavarde155     10    	1     	1     	4     	10    	3     	5     	5     	1     	10    	8     	3     	9     	4     	9     	3     	
Vardas156      Pavarde156     2     	6     	6     	10    	3     	9     	2     	9     	6     	3     	8     	5     	8     	7     	1     	5     	
Vardas157      Pavarde157     3     	6     	6     	5     	10    	4     	6     	1     	4     	8     	7     	8     	6     	2     	8     	9     	
Vardas158      Pavarde158     8     	8     	4     	9     	8     	5     	3     	9     	4     	2     	7     	10    	2     	1     	3     	9     	
Vardas159      Pavarde159     7     	3     	3     	4     	2     	8     	5     	2     	2     	9     	2     	1     	8     	9     	9     	5     	
Vardas160      Pavarde160     10    	3     	6     	3     	8     	5     	6     	6     	4     	1     	2     	2     	8     	2     	6     	4     	
Vardas161      Pavarde161     8     	3     	9     	9     	2     	6     	4     	1     	8     	2     	1     	2     	9     	1     	10    	10    	
Vardas162      Pavarde162     2     	1     	4     	4     	8     	10    	9     	2     	8     	4     	1     	8     	9     	5     	5     	5     	
Vardas163      Pavarde163     5     	6     	1     	2     	6     	5     	10    	10    	5     	7     	7     	5     	8     	10    	1     	9     	
Vardas164      Pavarde164     8     	8     	1     	1     	2     	3     	8     	4     	9     	5     	4     	5     	3     	7     	1     	6     	
Vardas165      Pavarde165     2     	3     	3     	4     	2     	8     	3     	7     	8     	9     	7     	6     	4     	3     	10    	6     	
Vardas166      Pavarde166     2     	10    	3     	2     	1     	2     	2     	3     	1     	2     	10    	8     	4     	9     	2     	1     	
Vardas167      Pavarde167     3     	6     	2     	7     	2     	3     	1     	2     	4     	3     	9     	2     	3     	4     	5     	3     	
Vardas168      Pavarde168     5     	9     	8     	10    	2     	5     	10    	8     	4     	10    	1     	6     	2     	4     	6     	9     	
Vardas169      Pavarde169     4     	8     	5     	2     	6     	2     	1     	3     	8     	2     	4     	6     	8     	4     	3     	9     	
Vardas170      Pavarde170     5     	10    	3     	7     	3     	5     	3     	9     	9     	7     	5     	10    	10    	2     	1     	2     	
Vardas171      Pavarde171     6     	1     	3     	2     	9     	3     	6     	3     	5     	1     	4     	10    	7     	4     	4     	10    	
Vardas172      Pavarde172     8     	8     	1     	1     	2     	9     	1     	10    	5     	4     	3     	3     	9     	7     	10    	1     	
Vardas173      Pavarde173     4     	6     	5     	8     	5     	1     	6     	1     	5     	4     	9     	9     	7     	5     	5     	9     	
Vardas174      Pavarde174     6     	8     	7     	2     	9     	1     	5     	6     	1     	8     	2     	3     	2     	9     	3     	7     	
Vardas175      Pavarde175     5     	2     	6     	9     	5     	5     	6     	4     	9     	5     	6     	8     	2     	2     	3     	5     	
Vardas176      Pavarde176     3     	2     	2     	8     	6     	1     	10    	3     	8     	9     	1     	8     	1     	6     	1     	3     	
Vardas177      Pavarde177     7     	3     	8     	1     	5     	9     	1     	3     	9     	4     	6     	7     	3     	7     	10    	1     	
Vardas178      Pavarde178     7     	7     	10    	4     	4     	7     	9     	2     	5     	8     	3     	3     	5     	5     	2     	9     	
Vardas179      Pavarde179     4     	8     	1     	6     	1     	8     	7     	9     	3     	6     	10    	9     	3     	1     	2     	9     	
Vardas180      Pavarde180     1     	2     	6     	9     	4     	6     	6     	7     	8     	4     	10    	7     	10    	5     	5     	8     	
Vardas181      Pavarde181     4     	2     	3     	1     	6     	6     	2     	10    	6     	6     	5     	9     	3     	2     	9     	4     	
Vardas182      Pavarde182     5     	8     	1     	5     	1     	4     	9     	4     	3     	4     	7     	10    	3     	5     	1     	6     	
Vardas183      Pavarde183     4     	2     	1     	2     	9     	8     	3     	7     	8     	3     	6     	2     	1     	1     	10    	1     	
Vardas184      Pavarde184     10    	3     	2     	4     	7     	4     	5     	8     	5     	8     	5     	2     	9     	1     	5     	5     	
Vardas185      Pavarde185     7     	9     	1     	6     	1     	5     	3     	6     	5     	5     	4     	5     	7     	8     	7     	4     	
Vardas186      Pavarde186     7     	8     	6     	3     	8     	7     	10    	6     	8     	2     	1     	7     	5     	10    	1     	8     	
Vardas187      Pavarde187     5     	8     	1     	6     	6     	3     	6     	2     	4     	9     	2     	5     	3     	9     	4     	9     	
Vardas188      Pavarde188     1     	1     	6     	9     	1     	6     	2     	7     	7     	7     	3     	5     	9     	5     	3     	4     	
Vardas189      Pavarde189     1     	4     	4     	6     	7     	5     	6     	9     	2     	8     	9     	7     	4     	2     	2     	5     	
Vardas190      Pavarde190     1     	9     	3     	4     	7     	4     	8     	2     	4     	8     	7     	1     	8     	9     	9     	5     	
Vardas191      Pavarde191     2     	4     	5     	4     	4     	8     	2     	4     	2     	5     	9     	9     	2     	2     	9     	5     	
Vardas192      Pavarde192     1     	4     	9     	6     	9     	5     	1     	1     	6     	9     	4     	4     	2     	8     	5     	7     	
Vardas193      Pavarde193     9     	10    	2     	8     	2     	5     	3     	5     	2     	5     	3     	1     	7     	5     	5     	10    	
Vardas194      Pavarde194     3     	6     	8     	10    	8     	6     	9     	5     	6     	5     	7     	10    	1     	2     	9     	4     	
Vardas195      Pavarde195     7     	8     	3     	6     	7     	6     	7     	4     	6     	8     	4     	6     	1     	3     	6     	3     	
Vardas196      Pavarde196     5     	10    	7     	9     	9     	1     	5     	6     	10    	7     	9     	7     	8     	8     	6     	1     	
Vardas197      Pavarde197     7     	1     	5     	8     	1     	10    	4     	2     	9     	5     	1     	10    	6     	5     	4     	7     	
Vardas198      Pavarde198     7     	7     	2     	6     	5     	8     	2     	1     	3     	1     	4     	6     	1     	4     	9     	2     	
Vardas199      Pavarde199     4     	8     	6     	8     	5     	6     	6     	4     	10    	7     	3     	9     	3     	1     	2     	6     	
Vardas200      Pavarde200     9     	8     	2     	2     	7     	8     	10    	7     	8     	7     	6     	2     	8     	1     	4     	5     	
Vardas201      Pavarde201     4     	8     	2     	2     	6     	2     	1     	8     	7     	8     	4     	6     	5     	5     	8     	3     	
Vardas202      Pavarde202     8     	10    	1     	8     	3     	1     	7     	8     	8     	4     	6     	2     	5     	3     	8     	1     	
Vardas203      Pavarde203     2     	2     	9     	5     	3     	5     	7     	7     	8     	4     	10    	5     	4     	7     	7     	9     	
Vardas204      Pavarde204     5     	10    	3     	10    	2     	3     	2     	2     	7     	6     	9     	1     	6     	3     	10    	9     	
Vardas205      Pavarde205     8     	7     	10    	2     	9     	7     	10    	8     	5     	2     	8     	9     	3     	8     	9     	1     	
Vardas206      Pavarde206     4     	4     	4     	1     	4     	1     	8     	1     	6     	1     	1     	6     	3     	2     	10    	2     	
Vardas207      Pavarde207     3     	6     	1     	3     	10    	10    	8     	5     	5     	8     	5     	1     	10    	7     	2     	5     	
Vardas208      Pavarde208     6     	5     	8     	5     	4     	5     	7     	10    	3     	4     	10    	8     	8     	3     	4     	8     	
Vardas209      Pavarde209     10    	10    	1     	5     	6     	7     	9     	2     	3     	9     	9     	10    	8     	5     	3     	1     	
Vardas210      Pavarde210     2     	4     	9     	7     	10    	8     	7     	5     	1     	7     	6     	10    	2     	7     	9     	2     	
Vardas211      Pavarde211     3     	9     	5     	9     	1     	6     	10    	6     	4     	7     	6     	8     	10    	6     	10    	8     	
Vardas212      Pavarde212     4     	1     	5     	2     	5     	6     	10    	1     	10    	9     	2     	9     	4     	3     	1     	10    	
Vardas213      Pavarde213     8     	9     	3     	9     	8     	2     	5     	1     	9     	10    	2     	1     	6     	10    	8     	2     	
Vardas214      Pavarde214     4     	7     	8     	5     	3     	5     	1     	7     	6     	7     	9     	1     	1     	4     	6     	5     	
Vardas215      Pavarde215     1     	7     	5     	6     	1     	4     	5     	3     	8     	1     	6     	9     	10    	4     	1     	3     	
Vardas216      Pavarde216     5     	5     	7     	7     	5     	1     	10    	10    	7     	9     	5     	4     	6     	10    	1     	7     	
Vardas217      Pavarde217     1     	9     	3     	3     	2     	1     	10    	2     	4     	9     	2     	7     	5     	9     	5     	10    	
Vardas218      Pavarde218     2     	8     	1     	3     	9     	1     	6     	2     	10    	3     	2     	9     	3     	9     	7     	4     	
Vardas219      Pavarde219     5     	1     	7     	10    	5     	3     	10    	3     	1     	8     	3     	10    	5     	6     	3     	2     	
Vardas220      Pavarde220     3     	7     	3     	5     	3     	10    	10    	8     	3     	5     	1     	4     	7     	6     	9     	9     	
Vardas221      Pavarde221     8     	7     	7     	4     	1     	4     	4     	8     	4     	9     	4     	7     	10    	2     	2     	9     	
Vardas222      Pavarde222     9     	7     	3     	4     	2     	2     	1     	1     	10    	9     	2     	7     	10    	4     	1     	4     	
Vardas223      Pavarde223     9     	3     	7     	3     	3     	9     	6     	6     	4     	2     	7     	9     	4     	1     	2     	6     	
