Vardas         Pavarde        ND1	ND2	ND3	ND4	ND5	ND6	ND7	ND8	ND9	ND10	ND11	ND12	ND13	ND14	ND15	Egz.
Vardas25       Pavarde25      10    	4     	1     	7     	6     	5     	5     	7     	8     	1     	4     	10    	7     	1     	8     	5     	
Vardas26       Pavarde26      6     	10    	1     	5     	1     	4     	4     	8     	10    	3     	10    	10    	3     	2     	5     	1     	
Vardas27       Pavarde27      4     	3     	6     	10    	10    	9     	6     	7     	1     	5     	4     	2     	10    	5     	9     	1     	
Vardas28       Pavarde28      6     	10    	6     	2     	4     	6     	6     	5     	9     	3     	5     	2     	5     	10    	8     	8     	
Vardas29       Pavarde29      2     	9     	4     	3     	5     	9     	5     	10    	6     	7     	9     	3     	9     	7     	5     	8     	
Vardas30       Pavarde30      3     	2     	2     	5     	5     	10    	1     	6     	8     	10    	8     	3     	4     	7     	8     	4     	
Vardas31       Pavarde31      8     	3     	4     	3     	10    	6     	4     	10    	10    	4     	2     	4     	6     	8     	10    	1     	
Vardas32       Pavarde32      4     	8     	5     	9     	5     	2     	8     	7     	1     	9     	10    	7     	1     	7     	7     	5     	
Vardas33       Pavarde33      7     	7     	7     	8     	7     	6     	2     	4     	1     	1     	10    	10    	2     	5     	1     	7     	
Vardas34       Pavarde34      3     	4     	6     	2     	4     	3     	2     	8     	8     	4     	9     	5     	2     	5     	10    	2     	
Vardas35       Pavarde35      2     	7     	6     	6     	8     	1     	5     	5     	4     	10    	9     	2     	5     	4     	1     	8     	
Vardas36       Pavarde36      3     	3     	3     	7     	7     	4     	4     	6     	1     	3     	2     	9     	10    	10    	4     	9     	
Vardas37       Pavarde37      6     	9     	2     	3     	5     	1     	5     	2     	9     	7     	1     	8     	3     	3     	3     	4     	
Vardas38       Pavarde38      2     	1     	10    	3     	5     	7     	5     	1     	1     	8     	4     	4     	7     	4     	10    	9     	
Vardas39       Pavarde39      1     	7     	10    	3     	2     	2     	9     	10    	3     	2     	3     	7     	4     	5     	9     	6     	
Vardas40       Pavarde40      9     	5     	1     	7     	9     	6     	4     	6     	9     	3     	7     	4     	2     	6     	8     	6     	
Vardas41       Pavarde41      8     	2     	10    	4     	9     	5     	10    	9     	2     	5     	2     	4     	7     	6     	3     	8     	
Vardas42       Pavarde42      3     	4     	10    	8     	2     	10    	3     	8     	1     	9     	4     	7     	6     	3     	5     	7     	
Vardas43       Pavarde43      5     	9     	10    	5     	5     	10    	5     	9     	2     	6     	3     	1     	1     	10    	5     	1     	
Vardas44       Pavarde44      1     	8     	1     	1     	10    	6     	9     	9     	1     	6     	1     	2     	4     	8     	10    	4     	
Vardas45       Pavarde45      9     	7     	8     	5     	4     	1     	10    	9     	2     	10    	1     	10    	2     	1     	8     	1     	
Vardas46       Pavarde46      2     	4     	5     	7     	9     	8     	1     	3     	4     	9     	4     	9     	5     	4     	6     	7     	
Vardas47       Pavarde47      8     	2     	4     	7     	10    	3     	2     	5     	1     	9     	7     	3     	6     	3     	7     	3     	
Vardas48       Pavarde48      8     	1     	9     	10    	4     	2     	5     	6     	5     	10    	7     	1     	8     	10    	10    	7     	
Vardas49       Pavarde49      10    	10    	10    	2     	7     	1     	9     	7     	9     	3     	9     	9     	7     	1     	4     	4     	
Vardas50       Pavarde50      9     	1     	1     	5     	10    	9     	8     	5     	8     	1     	5     	3     	9     	3     	6     	3     	
Vardas51       Pavarde51      3     	1     	8     	7     	9     	4     	1     	6     	9     	2     	8     	1     	7     	7     	7     	9     	
Vardas52       Pavarde52      1     	4     	2     	6     	6     	10    	8     	6     	4     	5     	10    	5     	5     	8     	2     	2     	
Vardas53       Pavarde53      3     	9     	1     	4     	6     	4     	2     	6     	3     	2     	7     	8     	10    	9     	10    	6     	
Vardas54       Pavarde54      6     	9     	8     	8     	10    	7     	4     	5     	2     	1     	6     	2     	1     	10    	9     	6     	
Vardas55       Pavarde55      4     	9     	2     	2     	10    	5     	6     	7     	4     	10    	8     	6     	10    	1     	5     	10    	
Vardas56       Pavarde56      10    	2     	8     	9     	2     	6     	7     	1     	1     	3     	6     	1     	2     	9     	1     	2     	
Vardas57       Pavarde57      9     	4     	2     	9     	8     	6     	4     	5     	1     	1     	10    	3     	2     	5     	1     	7     	
Vardas58       Pavarde58      4     	6     	10    	3     	8     	9     	5     	5     	9     	10    	4     	3     	2     	3     	3     	4     	
Vardas59       Pavarde59      1     	4     	9     	9     	2     	7     	8     	6     	6     	3     	3     	2     	10    	3     	5     	9     	
Vardas60       Pavarde60      4     	6     	5     	8     	1     	4     	3     	7     	3     	5     	4     	4     	8     	4     	5     	2     	
Vardas61       Pavarde61      3     	10    	2     	1     	2     	1     	7     	2     	9     	2     	10    	9     	2     	1     	7     	4     	
Vardas62       Pavarde62      8     	2     	6     	6     	7     	5     	6     	2     	5     	9     	3     	1     	9     	5     	7     	9     	
Vardas63       Pavarde63      1     	8     	3     	1     	4     	9     	4     	1     	4     	10    	7     	8     	4     	9     	1     	1     	
Vardas64       Pavarde64      2     	1     	3     	7     	1     	2     	6     	9     	2     	3     	6     	5     	2     	8     	5     	8     	
Vardas65       Pavarde65      7     	7     	9     	8     	10    	8     	4     	9     	3     	8     	9     	10    	6     	8     	5     	7     	
Vardas66       Pavarde66      10    	9     	5     	7     	6     	10    	4     	4     	2     	5     	7     	3     	6     	1     	4     	4     	
Vardas67       Pavarde67      9     	4     	2     	6     	6     	3     	2     	3     	3     	8     	5     	1     	9     	8     	2     	4     	
Vardas68       Pavarde68      9     	2     	7     	5     	1     	3     	9     	5     	4     	5     	10    	4     	4     	10    	1     	8     	
Vardas69       Pavarde69      9     	7     	3     	7     	7     	5     	7     	2     	5     	8     	8     	10    	5     	3     	4     	6     	
Vardas70       Pavarde70      2     	3     	2     	6     	2     	1     	2     	2     	9     	2     	6     	9     	4     	10    	1     	7     	
Vardas71       Pavarde71      5     	10    	3     	9     	8     	5     	10    	6     	10    	3     	2     	1     	7     	2     	8     	5     	
Vardas72       Pavarde72      8     	3     	9     	10    	4     	5     	9     	10    	7     	1     	4     	10    	8     	7     	2     	6     	
Vardas73       Pavarde73      2     	4     	3     	3     	1     	9     	8     	2     	7     	2     	3     	7     	3     	3     	2     	5     	
Vardas74       Pavarde74      7     	4     	8     	8     	4     	10    	6     	8     	1     	9     	1     	2     	8     	5     	3     	6     	
Vardas75       Pavarde75      5     	8     	10    	6     	7     	8     	2     	1     	2     	10    	6     	1     	7     	5     	6     	3     	
Vardas76       Pavarde76      2     	3     	10    	7     	3     	5     	7     	9     	1     	1     	8     	9     	4     	1     	10    	4     	
Vardas77       Pavarde77      5     	3     	3     	5     	5     	9     	3     	6     	7     	9     	2     	6     	6     	7     	9     	4     	
Vardas78       Pavarde78      7     	9     	3     	6     	6     	10    	5     	1     	9     	1     	7     	5     	6     	10    	7     	1     	
Vardas79       Pavarde79      1     	10    	3     	7     	1     	9     	7     	8     	8     	8     	6     	7     	4     	3     	7     	9     	
Vardas80       Pavarde80      8     	7     	9     	2     	6     	6     	8     	1     	10    	1     	8     	3     	1     	10    	8     	9     	
Vardas81       Pavarde81      1     	9     	6     	9     	10    	9     	1     	6     	4     	2     	3     	9     	6     	5     	9     	7     	
Vardas82       Pavarde82      10    	10    	7     	9     	10    	3     	3     	10    	4     	4     	1     	8     	6     	3     	4     	7     	
Vardas83       Pavarde83      7     	4     	10    	5     	5     	2     	9     	9     	2     	6     	2     	3     	7     	4     	10    	3     	
Vardas84       Pavarde84      2     	8     	7     	4     	8     	6     	4     	2     	10    	1     	1     	8     	8     	9     	3     	9     	
Vardas85       Pavarde85      10    	3     	10    	3     	5     	4     	4     	10    	3     	2     	8     	7     	1     	1     	8     	1     	
Vardas86       Pavarde86      1     	3     	6     	4     	6     	4     	1     	5     	9     	1     	3     	5     	4     	1     	5     	5     	
Vardas87       Pavarde87      7     	6     	7     	3     	9     	3     	9     	9     	2     	1     	1     	2     	4     	4     	2     	7     	
Vardas88       Pavarde88      1     	6     	2     	8     	9     	7     	4     	5     	2     	6     	10    	9     	3     	6     	3     	5     	
Vardas89       Pavarde89      5     	2     	9     	3     	2     	4     	5     	10    	1     	1     	1     	7     	10    	9     	4     	5     	
Vardas90       Pavarde90      7     	9     	10    	2     	2     	10    	10    	2     	4     	1     	1     	6     	3     	4     	9     	3     	
Vardas91       Pavarde91      1     	6     	6     	6     	7     	7     	1     	7     	2     	8     	6     	5     	5     	5     	10    	10    	
Vardas92       Pavarde92      3     	6     	4     	5     	1     	1     	8     	6     	7     	7     	9     	5     	3     	7     	8     	3     	
Vardas93       Pavarde93      6     	7     	8     	1     	10    	7     	5     	1     	7     	3     	6     	3     	5     	1     	1     	3     	
Vardas94       Pavarde94      6     	2     	9     	10    	8     	2     	2     	10    	4     	6     	2     	7     	6     	8     	1     	3     	
Vardas95       Pavarde95      4     	2     	7     	5     	6     	6     	4     	1     	9     	5     	9     	2     	7     	2     	6     	4     	
Vardas96       Pavarde96      3     	5     	2     	4     	2     	7     	9     	5     	6     	4     	5     	7     	8     	5     	9     	8     	
Vardas97       Pavarde97      8     	1     	9     	10    	7     	8     	8     	4     	3     	9     	8     	8     	9     	2     	6     	10    	
Vardas98       Pavarde98      2     	5     	3     	1     	2     	7     	1     	3     	1     	3     	6     	9     	2     	8     	8     	7     	
Vardas99       Pavarde99      4     	6     	10    	9     	8     	7     	9     	2     	8     	4     	9     	1     	3     	8     	2     	1     	
Vardas100      Pavarde100     8     	5     	6     	6     	5     	4     	3     	2     	10    	5     	3     	7     	1     	9     	6     	5     	
Vardas101      Pavarde101     5     	3     	8     	5     	1     	3     	2     	5     	8     	1     	3     	3     	1     	1     	2     	9     	
Vardas102      Pavarde102     3     	6     	7     	4     	9     	10    	10    	8     	9     	10    	2     	4     	9     	4     	1     	10    	
Vardas103      Pavarde103     10    	5     	9     	3     	7     	6     	6     	7     	8     	1     	5     	5     	3     	3     	2     	10    	
Vardas104      Pavarde104     7     	6     	5     	10    	5     	9     	9     	1     	6     	1     	6     	1     	10    	6     	10    	7     	
Vardas105      Pavarde105     7     	10    	4     	8     	2     	7     	1     	8     	2     	7     	1     	4     	7     	4     	7     	9     	
Vardas106      Pavarde106     8     	6     	9     	8     	1     	5     	9     	4     	1     	8     	6     	1     	6     	7     	2     	1     	
Vardas107      Pavarde107     7     	7     	5     	7     	7     	6     	8     	8     	8     	4     	2     	8     	1     	3     	5     	5     	
Vardas108      Pavarde108     8     	8     	6     	10    	5     	3     	4     	8     	9     	2     	1     	4     	5     	7     	7     	4     	
Vardas109      Pavarde109     9     	3     	4     	7     	6     	1     	4     	3     	9     	1     	4     	4     	8     	6     	5     	7     	
Vardas110      Pavarde110     8     	9     	2     	7     	2     	2     	7     	7     	5     	3     	7     	4     	1     	5     	10    	1     	
Vardas111      Pavarde111     2     	10    	5     	5     	7     	6     	10    	10    	2     	10    	1     	1     	7     	4     	6     	6     	
Vardas112      Pavarde112     1     	1     	8     	6     	1     	7     	10    	2     	7     	3     	6     	1     	10    	8     	3     	1     	
Vardas113      Pavarde113     3     	10    	7     	5     	6     	8     	9     	5     	8     	5     	1     	4     	9     	9     	3     	6     	
Vardas114      Pavarde114     2     	10    	7     	2     	8     	6     	6     	2     	5     	3     	9     	7     	3     	10    	5     	8     	
Vardas115      Pavarde115     4     	9     	1     	8     	9     	9     	9     	6     	2     	9     	5     	7     	3     	8     	6     	2     	
Vardas116      Pavarde116     6     	5     	5     	2     	2     	5     	7     	2     	8     	3     	10    	3     	4     	3     	8     	2     	
Vardas117      Pavarde117     10    	3     	10    	10    	7     	5     	3     	7     	9     	6     	10    	10    	8     	5     	2     	8     	
Vardas118      Pavarde118     7     	5     	6     	6     	2     	4     	3     	4     	1     	10    	2     	3     	9     	5     	9     	5     	
Vardas119      Pavarde119     6     	9     	7     	4     	6     	3     	1     	9     	10    	4     	9     	1     	2     	5     	7     	6     	
Vardas120      Pavarde120     3     	8     	9     	8     	6     	7     	2     	10    	6     	10    	8     	6     	5     	8     	8     	6     	
Vardas121      Pavarde121     10    	9     	9     	2     	9     	1     	4     	3     	8     	6     	8     	2     	8     	8     	2     	3     	
Vardas122      Pavarde122     10    	3     	4     	8     	4     	1     	2     	4     	8     	3     	2     	2     	1     	10    	10    	10    	
Vardas123      Pavarde123     9     	5     	3     	8     	1     	10    	8     	2     	6     	5     	1     	1     	1     	9     	5     	7     	
Vardas124      Pavarde124     1     	3     	8     	1     	5     	1     	1     	4     	3     	1     	3     	9     	6     	4     	4     	7     	
Vardas125      Pavarde125     5     	3     	2     	10    	3     	7     	1     	4     	4     	1     	10    	1     	1     	2     	2     	2     	
Vardas126      Pavarde126     9     	9     	8     	10    	5     	6     	1     	2     	10    	3     	4     	4     	1     	6     	3     	9     	
Vardas127      Pavarde127     9     	4     	7     	8     	8     	10    	2     	7     	2     	4     	6     	7     	9     	6     	9     	3     	
Vardas128      Pavarde128     1     	4     	7     	6     	1     	1     	4     	3     	7     	6     	3     	8     	9     	7     	10    	7     	
Vardas129      Pavarde129     1     	1     	2     	9     	4     	9     	3     	7     	9     	9     	8     	9     	6     	7     	10    	8     	
Vardas130      Pavarde130     6     	1     	8     	10    	4     	10    	7     	5     	4     	4     	7     	6     	6     	3     	9     	7     	
Vardas131      Pavarde131     10    	7     	9     	7     	4     	2     	6     	8     	3     	4     	8     	1     	1     	3     	6     	10    	
Vardas132      Pavarde132     5     	7     	6     	9     	5     	6     	1     	3     	9     	3     	7     	1     	5     	3     	3     	2     	
Vardas133      Pavarde133     7     	9     	4     	10    	9     	6     	10    	1     	8     	4     	3     	4     	10    	6     	5     	3     	
Vardas134      Pavarde134     1     	1     	6     	8     	1     	1     	7     	3     	7     	2     	3     	5     	6     	9     	9     	1     	
Vardas135      Pavarde135     9     	8     	3     	3     	9     	9     	9     	6     	3     	6     	10    	6     	7     	9     	10    	10    	
Vardas136      Pavarde136     8     	9     	5     	8     	10    	8     	4     	10    	8     	9     	8     	1     	2     	3     	10    	4     	
Vardas137      Pavarde137     2     	7     	3     	8     	3     	1     	7     	6     	6     	10    	2     	8     	4     	10    	3     	10    	
Vardas138      Pavarde138     7     	3     	7     	8     	6     	3     	5     	7     	6     	3     	9     	7     	2     	9     	2     	9     	
Vardas139      Pavarde139     2     	5     	5     	4     	5     	4     	3     	10    	10    	4     	5     	9     	5     	9     	2     	5     	
Vardas140      Pavarde140     9     	5     	5     	10    	2     	5     	7     	5     	9     	7     	1     	9     	7     	4     	7     	6     	
Vardas141      Pavarde141     7     	3     	5     	10    	2     	1     	10    	3     	10    	6     	1     	10    	2     	1     	10    	1     	
Vardas142      Pavarde142     7     	8     	3     	9     	6     	7     	6     	5     	9     	8     	10    	5     	2     	9     	6     	8     	
Vardas143      Pavarde143     8     	3     	2     	6     	4     	5     	8     	10    	6     	10    	7     	9     	6     	10    	3     	4     	
Vardas144      Pavarde144     2     	6     	9     	2     	9     	3     	9     	2     	10    	1     	6     	10    	6     	10    	5     	5     	
Vardas145      Pavarde145     1     	5     	6     	2     	8     	5     	5     	6     	1     	9     	8     	2     	5     	6     	2     	2     	
Vardas146      Pavarde146     10    	8     	2     	6     	2     	9     	5     	4     	2     	3     	8     	4     	5     	9     	5     	4     	
Vardas147      Pavarde147     2     	9     	9     	4     	1     	10    	4     	4     	6     	8     	6     	10    	4     	5     	6     	6     	
Vardas148      Pavarde148     9     	10    	4     	5     	9     	9     	8     	4     	7     	8     	5     	10    	1     	7     	7     	5     	
Vardas149      Pavarde149     2     	3     	9     	10    	6     	7     	6     	1     	9     	7     	8     	10    	2     	10    	1     	3     	
Vardas150      Pavarde150     8     	1     	1     	8     	8     	4     	2     	7     	9     	10    	8     	8     	7     	10    	9     	6     	
Vardas151      Pavarde151     2     	8     	9     	10    	9     	10    	10    	1     	10    	1     	2     	1     	8     	5     	10    	10    	
Vardas152      Pavarde152     6     	8     	10    	9     	9     	2     	6     	1     	2     	5     	9     	2     	1     	10    	5     	4     	
Vardas153      Pavarde153     9     	3     	10    	5     	9     	1     	2     	9     	8     	2     	10    	2     	3     	2     	10    	1     	
Vardas154      Pavarde154     2     	6     	1     	1     	7     	6     	2     	6     	10    	9     	4     	9     	9     	6     	9     	9     	
Vardas155      Pavarde155     10    	6     	10    	5     	9     	9     	2     	5     	8     	2     	1     	4     	8     	7     	2     	5     	
Vardas156      Pavarde156     3     	9     	8     	2     	9     	1     	10    	2     	5     	3     	10    	3     	10    	5     	7     	1     	
Vardas157      Pavarde157     5     	6     	10    	6     	8     	1     	6     	5     	8     	1     	10    	5     	2     	3     	3     	5     	
Vardas158      Pavarde158     9     	7     	4     	5     	5     	2     	3     	7     	1     	5     	2     	10    	2     	4     	4     	3     	
Vardas159      Pavarde159     8     	3     	8     	7     	8     	4     	3     	3     	2     	9     	9     	3     	1     	7     	10    	7     	
Vardas160      Pavarde160     8     	2     	5     	5     	6     	6     	10    	4     	4     	1     	3     	5     	7     	8     	5     	5     	
Vardas161      Pavarde161     7     	5     	1     	5     	8     	8     	9     	6     	3     	6     	3     	4     	3     	4     	2     	6     	
Vardas162      Pavarde162     5     	9     	10    	6     	1     	8     	6     	1     	4     	6     	7     	9     	6     	4     	2     	2     	
Vardas163      Pavarde163     9     	1     	2     	6     	5     	5     	9     	5     	10    	3     	10    	3     	10    	3     	1     	2     	
Vardas164      Pavarde164     4     	7     	3     	7     	2     	9     	8     	7     	4     	10    	6     	10    	2     	4     	3     	2     	
Vardas165      Pavarde165     5     	9     	9     	10    	7     	10    	10    	2     	6     	3     	6     	4     	5     	7     	4     	10    	
Vardas166      Pavarde166     2     	9     	4     	4     	1     	6     	1     	4     	9     	5     	4     	6     	1     	9     	1     	5     	
Vardas167      Pavarde167     1     	4     	8     	3     	6     	9     	10    	5     	8     	5     	7     	5     	1     	9     	2     	7     	
Vardas168      Pavarde168     5     	5     	8     	7     	5     	2     	2     	8     	10    	4     	5     	7     	4     	7     	8     	3     	
Vardas169      Pavarde169     2     	3     	9     	8     	2     	3     	2     	9     	6     	7     	2     	8     	6     	6     	7     	4     	
Vardas170      Pavarde170     1     	2     	2     	10    	9     	9     	5     	1     	2     	7     	7     	7     	8     	7     	7     	3     	
Vardas171      Pavarde171     6     	10    	4     	3     	9     	4     	3     	10    	1     	9     	6     	6     	7     	7     	2     	4     	
Vardas172      Pavarde172     5     	9     	7     	7     	8     	8     	3     	3     	5     	10    	10    	9     	9     	1     	1     	3     	
Vardas173      Pavarde173     3     	7     	5     	9     	2     	5     	6     	1     	1     	5     	1     	2     	8     	7     	6     	2     	
Vardas174      Pavarde174     6     	1     	10    	3     	8     	6     	1     	10    	3     	8     	2     	6     	2     	9     	2     	9     	
Vardas175      Pavarde175     3     	7     	8     	4     	4     	8     	10    	10    	3     	3     	10    	1     	8     	2     	1     	7     	
Vardas176      Pavarde176     3     	3     	10    	10    	9     	4     	5     	10    	3     	7     	5     	7     	3     	4     	7     	3     	
Vardas177      Pavarde177     5     	3     	8     	5     	9     	5     	2     	9     	10    	6     	9     	9     	7     	1     	5     	10    	
Vardas178      Pavarde178     6     	9     	10    	6     	7     	2     	1     	8     	7     	9     	4     	9     	7     	3     	9     	6     	
Vardas179      Pavarde179     8     	1     	9     	3     	10    	2     	7     	6     	7     	6     	2     	7     	4     	9     	10    	2     	
Vardas180      Pavarde180     7     	3     	10    	3     	5     	3     	10    	2     	5     	3     	9     	2     	3     	9     	1     	3     	
Vardas181      Pavarde181     10    	3     	3     	6     	5     	9     	2     	7     	8     	5     	6     	4     	1     	8     	2     	9     	
Vardas182      Pavarde182     6     	2     	7     	10    	10    	7     	4     	10    	1     	10    	8     	7     	3     	3     	7     	2     	
Vardas183      Pavarde183     9     	10    	8     	6     	4     	9     	2     	2     	4     	7     	8     	9     	3     	4     	6     	9     	
Vardas184      Pavarde184     2     	9     	9     	9     	1     	9     	1     	3     	8     	9     	1     	8     	1     	10    	3     	3     	
Vardas185      Pavarde185     8     	2     	10    	3     	6     	5     	5     	7     	9     	1     	3     	10    	5     	2     	5     	7     	
Vardas186      Pavarde186     8     	8     	10    	8     	5     	6     	4     	6     	2     	1     	9     	7     	7     	3     	3     	4     	
Vardas187      Pavarde187     6     	9     	1     	1     	10    	4     	10    	5     	7     	5     	6     	8     	4     	10    	6     	4     	
Vardas188      Pavarde188     8     	5     	6     	8     	3     	9     	8     	10    	5     	2     	1     	8     	6     	3     	2     	5     	
Vardas189      Pavarde189     8     	1     	9     	8     	3     	6     	5     	9     	9     	9     	8     	1     	1     	9     	7     	4     	
Vardas190      Pavarde190     3     	9     	2     	4     	7     	3     	6     	6     	7     	5     	2     	9     	9     	7     	2     	3     	
Vardas191      Pavarde191     3     	4     	1     	8     	9     	7     	6     	9     	5     	2     	3     	9     	3     	2     	8     	8     	
Vardas192      Pavarde192     1     	1     	5     	7     	5     	6     	4     	7     	4     	10    	5     	8     	6     	9     	10    	2     	
Vardas193      Pavarde193     8     	1     	1     	4     	7     	3     	9     	8     	6     	6     	6     	8     	1     	1     	2     	5     	
Vardas194      Pavarde194     6     	6     	9     	9     	4     	6     	10    	7     	6     	10    	6     	1     	1     	7     	4     	2     	
Vardas195      Pavarde195     10    	7     	6     	3     	1     	4     	7     	6     	8     	1     	2     	8     	5     	5     	1     	6     	
Vardas196      Pavarde196     9     	3     	10    	10    	5     	1     	10    	1     	5     	9     	6     	10    	10    	4     	8     	10    	
Vardas197      Pavarde197     1     	2     	3     	9     	7     	1     	3     	10    	8     	6     	2     	7     	2     	7     	4     	8     	
Vardas198      Pavarde198     10    	1     	2     	1     	3     	7     	1     	5     	7     	5     	5     	3     	6     	3     	4     	4     	
Vardas199      Pavarde199     9     	5     	3     	3     	5     	10    	10    	9     	6     	5     	8     	8     	2     	4     	8     	10    	
Vardas200      Pavarde200     9     	4     	3     	5     	5     	5     	7     	9     	6     	6     	1     	1     	8     	3     	3     	2     	
Vardas201      Pavarde201     6     	9     	8     	9     	4     	4     	8     	3     	4     	9     	3     	7     	7     	10    	10    	4     	
Vardas202      Pavarde202     2     	3     	7     	5     	3     	1     	7     	9     	1     	4     	1     	3     	5     	10    	3     	7     	
Vardas203      Pavarde203     3     	7     	3     	9     	7     	2     	7     	6     	1     	4     	3     	7     	3     	3     	2     	1     	
Vardas204      Pavarde204     4     	7     	4     	6     	4     	7     	8     	3     	4     	4     	2     	8     	5     	8     	5     	4     	
Vardas205      Pavarde205     6     	9     	2     	10    	4     	5     	5     	10    	4     	8     	1     	3     	8     	2     	2     	1     	
Vardas206      Pavarde206     6     	4     	8     	2     	10    	2     	6     	7     	2     	8     	9     	3     	6     	9     	10    	9     	
Vardas207      Pavarde207     7     	5     	8     	2     	5     	3     	2     	4     	5     	9     	2     	1     	7     	7     	4     	8     	
Vardas208      Pavarde208     6     	3     	4     	6     	3     	8     	4     	2     	10    	4     	1     	2     	2     	2     	6     	5     	
Vardas209      Pavarde209     8     	10    	9     	8     	9     	7     	5     	3     	1     	7     	10    	2     	2     	1     	10    	2     	
Vardas210      Pavarde210     8     	8     	10    	9     	10    	10    	1     	3     	10    	8     	1     	5     	1     	6     	8     	1     	
Vardas211      Pavarde211     8     	5     	7     	10    	5     	4     	10    	4     	4     	1     	4     	8     	3     	5     	5     	8     	
Vardas212      Pavarde212     6     	3     	8     	2     	9     	10    	8     	4     	9     	4     	5     	8     	2     	4     	3     	1     	
Vardas213      Pavarde213     2     	7     	6     	4     	2     	2     	9     	2     	1     	5     	7     	9     	9     	6     	7     	7     	
Vardas214      Pavarde214     6     	2     	7     	7     	2     	7     	3     	6     	8     	5     	10    	4     	5     	8     	5     	3     	
Vardas215      Pavarde215     7     	5     	8     	8     	6     	9     	7     	9     	10    	7     	2     	2     	8     	3     	7     	5     	
Vardas216      Pavarde216     5     	4     	5     	2     	2     	10    	6     	1     	6     	2     	8     	8     	9     	2     	5     	10    	
Vardas217      Pavarde217     5     	5     	8     	8     	1     	3     	6     	9     	1     	7     	4     	2     	4     	7     	7     	5     	
Vardas218      Pavarde218     5     	4     	1     	2     	3     	2     	2     	10    	1     	4     	8     	2     	1     	8     	2     	1     	
Vardas219      Pavarde219     6     	3     	1     	2     	10    	6     	5     	10    	7     	3     	10    	1     	8     	4     	4     	6     	
Vardas220      Pavarde220     10    	4     	10    	1     	1     	7     	1     	5     	4     	9     	10    	9     	1     	7     	4     	7     	
Vardas221      Pavarde221     9     	5     	3     	10    	3     	8     	4     	6     	6     	2     	3     	2     	6     	8     	1     	5     	
Vardas222      Pavarde222     5     	7     	3     	8     	7     	1     	3     	1     	5     	7     	6     	9     	10    	10    	4     	9     	
Vardas223      Pavarde223     4     	10    	7     	1     	10    	10    	2     	5     	8     	8     	10    	10    	7     	1     	7     	8     	
